target_element,checked_element,is_target,phase1_base,phase1_variant,phase1_changed,phase2_base,phase2_variant,phase2_changed
walk_forward_validation,walk_forward_validation,True,absent,disclosed,True,absent,disclosed,True
walk_forward_validation,purged_embargoed_cv,False,absent,absent,False,absent,absent,False
walk_forward_validation,out_of_sample_cost_modeling,False,absent,absent,False,absent,absent,False
walk_forward_validation,multiple_testing_correction,False,absent,absent,False,absent,absent,False
walk_forward_validation,multi_window_validation,False,absent,absent,False,absent,absent,False
purged_embargoed_cv,walk_forward_validation,False,absent,absent,False,absent,absent,False
purged_embargoed_cv,purged_embargoed_cv,True,absent,disclosed,True,absent,disclosed,True
purged_embargoed_cv,out_of_sample_cost_modeling,False,absent,absent,False,absent,absent,False
purged_embargoed_cv,multiple_testing_correction,False,absent,absent,False,absent,absent,False
purged_embargoed_cv,multi_window_validation,False,absent,absent,False,absent,absent,False
out_of_sample_cost_modeling,walk_forward_validation,False,absent,absent,False,absent,absent,False
out_of_sample_cost_modeling,purged_embargoed_cv,False,absent,absent,False,absent,absent,False
out_of_sample_cost_modeling,out_of_sample_cost_modeling,True,absent,disclosed,True,absent,disclosed,True
out_of_sample_cost_modeling,multiple_testing_correction,False,absent,absent,False,absent,absent,False
out_of_sample_cost_modeling,multi_window_validation,False,absent,absent,False,absent,absent,False
multiple_testing_correction,walk_forward_validation,False,absent,absent,False,absent,absent,False
multiple_testing_correction,purged_embargoed_cv,False,absent,absent,False,absent,absent,False
multiple_testing_correction,out_of_sample_cost_modeling,False,absent,absent,False,absent,absent,False
multiple_testing_correction,multiple_testing_correction,True,absent,disclosed,True,absent,disclosed,True
multiple_testing_correction,multi_window_validation,False,absent,absent,False,absent,absent,False
multi_window_validation,walk_forward_validation,False,absent,absent,False,absent,absent,False
multi_window_validation,purged_embargoed_cv,False,absent,absent,False,absent,absent,False
multi_window_validation,out_of_sample_cost_modeling,False,absent,absent,False,absent,absent,False
multi_window_validation,multiple_testing_correction,False,absent,absent,False,absent,absent,False
multi_window_validation,multi_window_validation,True,absent,absent,False,absent,disclosed,True
